,contents,emoji
0,contents,emoji
1,–––––––––––––– ♪ clack clack clack⬜️⬜️⬜️⬜️⬜️ | ❍⬜️🍏🍏🍎⬜️ / ⬜️⬜️⬜️⬜️⬜️ |––––––––––––––,♪
2,playhits♪ feat. - jika || ▶ #bali w/,♪
3,"i kiss the scar on her skin, i still think you're beautiful and i don't ever wanna lose my best friend ♥♪ #adrianbot",♪
4,hai nice to meet you! ♪(๑ᴖ◡ᴖ๑)♪if you’ve send a friend request please dm me✨ if you want to add me on wii~u ( asu…,♪
5,"♪love rain❤☔️❤☔️❤☔️❤my request song💕(⑉•ᴗ•⑉)thanks❤︎""#sukkielovers#ungwithjks#kpopwayradio#team_h…",♪
6,𝓈𝑜𝒻𝓉 koo edit incase you have a bad day 🌱🌸🐰🥛🥕♪( ´▽｀),♪
7,playhits♪ - hold on || ▶ #eliminasi w/,♪
8,·.¸¸.·♩♪♫ kim yerim 𝙖𝙩 𝙮𝙤𝙪𝙧 𝙨𝙚𝙧𝙫𝙞𝙘𝙚. ♫♪♩·.¸¸.· 🌳,♪
9,"gotta alot of noise on my little radio, the skip be come in from everywhere!!! happy dx'ing all!!!...♪♫♪♫♎☠\m/☠♎♫…",♪
10,"lala tv ♪ present k-stage ~ imf act live in tokyo 2019 ~ 【friday, june 28】 will be hold at shibuya womb! !",♪
11,–––––––––––––– ♪ ding ding⬜️⬜️⬜️⬜️⬜️ | ❍⬜️🍊🍋🍐⬜️ / ⬜️⬜️⬜️⬜️⬜️ |––––––––––––––,♪
12,"what’s the matter with you ?oh … you do it again ! 🤔; (wow …)sorry, l gotta go.♪🖐️😎 ♪",♪
13,sure thing v(。・ω・。)♪unity be awesome so it should just work™i have just watch the review from…,♪
14,you never see me again 🗣♪🗣♪🗣♪🗣♪🗣♪🗣♪🗣♪🗣♪🗣♪🗣♪here be the harley we give away yesterday. and the vet who get it,♪
15,♬♪♫ – ♫somewhere with you by from #soundhound with livelyrics®,♪
16,good morning🌅(*^▽^)/★*☆♪,♪
17,"yankee ha 32 players, i count from 2011. but, there be moi. ask them,mf←alsco♥笑♪so.pls ask 'them, if y'guys w…",♪
18,"playhits♪ chanyeol, sehun () - we young || ▶ #eliminasi w/",♪
19,–––––––––––––– ♪ clack clack clack⬜️⬜️⬜️⬜️⬜️ | ❍⬜️🍉🍉🍎⬜️ / ⬜️⬜️⬜️⬜️⬜️ |––––––––––––––,♪
20,good morning☺️♪,♪
21,i want to be the minority♪ i don't need your authority♪ (*・ω・*) (©green day「minority」),♪
22,♪worldista〜😭😭😭#シゲ部,♪
23,i'm crazy～♪i'm crazy for you～♪dj khaled be the 🐐,♪
24,💟♪*unfaithful ♪,♪
25,playhits♪ feat. - on the floor || ▶ #eliminasi w/,♪
26,happy bihday byeong min🎉🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳have a nice and beautiful day ♪,♪
27,ty stephen! happy day☆🌸♪,♪
28,playhits♪ - youth || ▶ #breakspot w/,♪
29,🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿 happy #stgeorgesday folk 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿♪♫•*¨*•.¸¸♥¸¸.•*¨*•♫♪🏴󠁧󠁢󠁥󠁮󠁧󠁿…,♪
30,♥♡♥♡♥♡♥♡♥♡♥good morning♪to one day be nice today♥♥♡♥♡♥♡♥♡♥♡♥,♪
31,playhits♪ - despacito || ▶ #obama w/ raditya rassman &amp; vanya ardani,♪
32,i have never see such a smiled♪😃👏😃👏😃👏,♪
33,📷 stevenrogered: ♪ we didn’t start the fire,♪
34,⚪️「go right ahead and do a you please〜♪」「so i commit suicide〜♪」⚫️「stop;;」googleの力,♪
