,contents,emoji
0,contents,emoji
1,solid fameloni a always! 💖,💖
2,aww you're welcome!! 💖,💖
3,be a girl sucks. hope your tummy feel better soon 💖,💖
4,she cute :(( 💓💞💕💝💖💘💗,💖
5,gigolo junk by greatest hit 💞💖💞💖💞💖💞,💖
6,omg insane 💖,💖
7,salamat! i will pray for you 💖,💖
8,happy birthday to my baby 🥺💖💖💖💖💖💖💖,💖
9,swifties !!!! 💖💖💖💖 let's break a record 😍💞 #taylorswifttonight,💖
10,thank you theoooo💖,💖
11,online now 🔥✨💖 #onmfc,💖
12,#donkisstwoinfinitynbeyond keep sparkle dks 💖,💖
13,don't wait more! buy your tickets!🎉😆😍😍💕😄💖😲😱more information:⠀⠀⠀[ 🇨🇦 2019 rain fan meet vancouver 🇨🇦 ]⠀⠀⠀tic…,💖
14,thank you for the support 😤💖,💖
15,my mom really send me attachment to tattoo she want me to get 💖,💖
16,"i've be there, dear heart. 💖💝💖 here for you anytime.",💖
17,one last cry over this. go jesus!! 💖,💖
18,here enjoy this 💖,💖
19,for the boy 💜💖 #bbmastopsocial bts,💖
20,a true fuck king 💖💖💖,💖
21,gurl i looooove u soo much😭💖till the end with u mahal💖,💖
22,our m🌜🌛🌚nchild .... love ya load joonie 💖🐨💜 #premiosmtvmiaw #mtvbrfandombtsarmy #mtvbrkpopbts,💖
23,"this's a robot for sure, can't be human. god must have be in a chilla mood while mould this foetus 🤳👁💖",💖
24,dude thank you so much for breakfast you be too kind 😭💖,💖
25,thank you mike!!!!! 💖,💖
26,my binder safely arrive yiheeee :3 thank youu 💖,💖
27,get thru the day with bae 💖,💖
28,iloveyoualways💖,💖
29,awww thankyou ☺️❤️💖😍🌻🦄🔮,💖
30,a little sneak peak of our baju raya 2019 💖 still confuse? here wanna fulfill everyon…,💖
31,have fuuuuuun 💖💖💖,💖
32,"🎂🇮🇹💖👼fantastic mimi of ohmygirl happy bihday mimi, orso💖👼🇮🇹🎂",💖
33,have a great time woth this one 💖,💖
34,"you do so good, he's real cute !! 💖♥️",💖
35,taylor - me💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖,💖
36,hey all. please consider donate to help my partner out 💖💖💖,💖
37,so free 😭😍💖🦋,💖
38,congrats mamshiesss!!!!! stay strong!!! we love youuuu!!!!💖💖💖,💖
39,happy birthday licel!! 💖,💖
40,sleepwell my sleepyhead 💖,💖
41,"make a table top rpg podcast 🗣🗣... i mean, if y’all want... i love your show 💖",💖
42,not possible ! 😤💖,💖
43,twitch streamer who don't call out lurker 💓💕💖💗💘,💖
44,don’t u dare give up 😭 i know you’re go to do amazingggg 💞💓💗💖💘💗💓💞,💖
45,that one person that make you like:💕💞😘😍🥰💗💖💝😚☺️😌💘💗🥴😘🤤💗💖💕💝🦋🦋🦋🥺🤩🥳💝💗💞🦋🦋🦋🤤🤤💗💖💞💝💘💗💖🤤☺️😘💗💖💞💝,💖
46,hi sunson love you thx for post on my birthday 🎂😍😘💖💋,💖
47,i hope you like it!! ✨💖✨ i can’t believe i have to watch aot and get in the same timespan. i’m gonna los…,💖
48,good morning guy ❤💙💚💛💜💓💕💖💗💘💝💞💟🌹🌹🌹,💖
49,aw so gorgeous 💖💖💖a model! girl you're so beautiful!,💖
50,thank you💖💕,💖
51,albyyyyyyyy💖💖💖💖💖💖,💖
52,good morning ❤ twitter people.. and happy f r i d a y 🤗💐💖,💖
53,💖voted for yoshikitty｜the 34th sanrio character rank official website,💖
54,i'm sorry but this child be sweeter than a cupcake i love em 💞💖💞💖💞💖💞💖,💖
55,wow! anyone else feel it?! #bodyproud 💪🏾💖👊 double tap if you also be an artist to your physique! #fitadvanced…,💖
56,pettit biscuit ha be my top spotify artist since i start use spotify 💖💖💖,💖
57,i have it today a well💖💗💓💞💘💕💝,💖
58,omg it's clap 🙈💖✨,💖
59,"hmm, maybe presenter note and comment aren't the same bank and on apple pay you be not the product and be surveillance-proof?you can do this love, im root for you 💖💕💞 good luck beautiful !!!",💖
60,squishie get some reese cups! #krewfam 💖,💖
61,butterfly 😭💖,💖
62,yes. 2 different people within a week. 🤦🏻‍♀️good night sweetie sweet dream see you same place tomorrow xxx😘💖🌜💕🌟🙏💫,💖
63,👑queen history👑**«one korea - one olympics - one yuna kim!»** 💖*yuna kim - you be not alone!*💖*yuna kim - alway…,💖
64,#ask_nuest #bet_bet to aron: the husband of 30k wife 😂👏 how do you feel to have that title? 💖,💖
65,anytime lovely 💖,💖
66,oh lovely i be so sorry. i can't begin to imagine but i be send you all the love in the world 💖,💖
67,woweeeeee ily robin!! you have my whole heart!! 💖,💖
68,17 year of existence😇😘💖 thank you lord!😘💕,💖
69,jungmin like his own picture on instagram i fully support this act of self love 💖,💖
70,i'm the only one of mebaby that's the fun of me 💖,💖
71,drink some tea &amp; stay always warm 🥺💖,💖
72,congrats we love you😭💖👍,💖
73,❤️❤️💕💕❤️❤️💕💕💓💜💗💖 thank you aa,💖
74,new life with them 💖,💖
75,cuteness 💞💓💗💖💘💕,💖
76,f l o r e n c e 💖✨,💖
77,yin why be all of your art so precious and lovely 😩👌🏻💖💜💙,💖
78,"when my mama say "" i'm proud of you mer"" 😢💖",💖
79,"awwh thank you very much, lacrima😭💖",💖
80,bffs forever 💖💖,💖
81,send eva to jail 💗💕💖💓,💖
82,💖seventeen wallpaper💖,💖
83,that's lovely mr c!🤗🤗🤗💖,💖
84,🎉💖 thank you for share your joy-filled story... what a blessing!🙏🏼💙,💖
85,i love you ashley i'm always support you💖 stay strong 🌈,💖
86,make by me💖💖 #newprofilepic,💖
87,still look gorgeous and sensual 💖💝💘💋,💖
88,💖can you please play #boywithluv ? by feat.,💖
89,i’m glad you’re feel okay but hmu anytime 💖,💖
90,ughh 💦if you want to hear that from me just chat me 💖💦#imstraight,💖
91,thank boo💖😘,💖
92,💖 🅻🅸🅺🅴 &amp; 🆁🅴🆃🆆🅴🅴🆃➡️ the hustle - official trailer #2 (2019)🎬 trailer:,💖
93,you be so cute my love this outfit be so cute 💖,💖
94,aww thank a million sweetest angel! 🌠💖🌈🧚‍♀️🥰,💖
95,home frm eat josh’s house 💖 panangan all the way 😂,💖
96,share a dawn save a life 💖👍,💖
97,get some rest pls take care of yourself 💗💖💘💕💓,💖
98,my dm be open if you wanna talk ! 💖,💖
99,very unimpressed baby but still baby 😩💖,💖
100,omg legend 💞💘💓💕💖💗,💖
101,on my way!!!!!💗💫🌟💞💖💕✈️,💖
102,"i did, it’s a yummy muffin, worth a go deffo, hope your ok too 💖💖💖",💖
103,same!! aw we stan crackheads 🥺💖,💖
104,you're so adorable 😭💕💟🌸💓💖❣💌💝💓💝💖,💖
105,yehey! 💖💖💖💖💖watch my newest vlog with &amp;,💖
106,it's special day 💖💖💖♥️♥️♥️♥️♥️❤️❤️❤️❤️❤️❤️❤️,💖
107,#wow now we talk the same language chrisyoungmusic!!!!!🎵🎵🎵🎵💯💖👌😉😎,💖
108,have a good morning pips! 😁💕💖,💖
109,trans femmes be great 💖,💖
110,thank uuuuu 💖💖💖,💖
111,emsssss😭😭😘sana hndi yun totoo😪im always here for you no matter what happen😢😘iluvyouu😘💖😭,💖
112,haha thank you 💖💖,💖
113,let go nurse alex!! 💖,💖
114,waaaa big sister be the best!!!! hug cait tight!!! ☺️☺️☺️💖💖💖💖💖,💖
115,a hug for you 💖,💖
116,goodluck ph🇵🇭 goodluck pasig💖 #eusebiopadin,💖
117,"aw im sorry, send love and positive vibe to you and your family!! 💖",💖
118,eek! my heart 😭💖 #taylorswifttonight,💖
119,editorial make up on model denver 💖,💖
120,yes ma'am u r so beautiful ❤💖,💖
121,let u shine🌟🌃🌆💖💫,💖
122,"i know, it be a beautiful a the husband wife relationship itself! 😍😍💖💖",💖
123,love you to the beach and back 🌊☀️💖,💖
124,love you more tein! mwaaaps 😘💖,💖
125,they look supa cute~!! 💖💖💖they be ready for summer!! 😎☀️,💖
126,it wa so beautiful 💗 but so angsty 😭 but amaze 🥺 and the sequel - you have to read the sequel 💖,💖
127,i love you too ziame! just saw this hehe 😘💖,💖
128,can you guess what i’m up to today?!? 🌈💖🦄...#kidinfluencer #familyvloggers #youtubekids #kidsyoutube #instakid…,💖
129,omg!!! u be so beautiful and kind thank u 💖💖,💖
130,trans poc need to be protect at all cost i love y’all 🥺💖🥺,💖
131,my queen! 💖😍😭😭,💖
132,it truly is!! 💖,💖
