,contents,emoji
0,contents,emoji
1,simple and easy be sometimes the 1st forgotten. that from experience❣️#fact,❣
2,❤never afraid to tell the truth ❣️👑,❣
3,lion king ❣️ #bobreyinconce ritkenindayoff,❣
4,new original song!💛 “ all or nothing” 💛love the lyric i do for this one ❣️,❣
5,i'll always remember u this way. good night ❣,❣
6,good night oomfs ❣️,❣
7,thankyou wanna!!! ❣️,❣
8,kylie's birthday celebration ❣️,❣
9,have a nice weekend 🍀🌷🍀😍❣️,❣
10,"so proud of you, raddy ain’t ready for u ❣️",❣
11,miss u din❣,❣
12,get better!! ❣️,❣
13,wa long year but she stick it out !! i’m so proud of her ❣️🤗,❣
14,i miss you too my banyo buddy😘❣,❣
15,"thank you, too❣️",❣
16,family staycation ❣️ palisociety palihotel westwood village,❣
17,thank you for sharing. can’t believe it’s be 21 years. glad you’re here❣️,❣
18,i love you bb 😜❣️,❣
19,time to cry myself to sleep gn 😌 if anyone want to murder me go ahead i’m tire of this life ❣️🥰,❣
20,baby rest well ❣❤,❣
21,thank you !❣️🇨🇦,❣
22,you're so adorable 😭💕💟🌸💓💖❣💌💝💓💝💖,❣
23,can’t wait to be surround by my favourite people tomorrow night. pas me a drinkkk💃🏽🎉🥂 ❣️,❣
24,"𝐒𝐢𝐝𝐞 𝐛𝐲 𝐬𝐢𝐝𝐞 𝐨𝐫 𝐦𝐢𝐥𝐞𝐬 𝐚𝐩𝐚𝐫𝐭, 𝐈 𝐰𝐢𝐥𝐥 𝐚𝐥𝐰𝐚𝐲𝐬 𝐰𝐚𝐢𝐭 𝐟𝐨𝐫 𝐲𝐨𝐮 𝐮𝐧𝐭𝐢𝐥 𝐲𝐨𝐮 𝐜𝐨𝐦𝐞 𝐛𝐚𝐜𝐤.❣️",❣
25,❣️❣️❣️❣️#marksiwat #หัวใจศิวัช 🚫don't edit the watermark,❣
26,i love barefoot...😘✨💎👣🌊😍❤️✨👣✨i really like it❣️,❣
27,idk if i would of be able to do it without you 💯❣️,❣
28,🗣new music out now on all platform “let goodness flow”💨💨🍃🌍💧❣️🕊🧘🏾‍♂️👳🏾‍♂️🦁#letgoodnessflow #bashabinghi…,❣
29,wahhhh!my husbandddd!!!!😍❣,❣
30,my all time favt. quote ! ❣️❣️,❣
31,appreciated❣️,❣
32,"yeeeeeeeeeeeees, i completely agree❣️#memusicvideo 💗🦋✨😭💗🌈✨😭💗🦋✨😭💗",❣
33,such a great episode and clip 😇‼️jenny and ian would be proud of their son ❣️❣️❣️#manofworth #outlander 🌹,❣
34,"my cousin be like my kids, my life ❣️",❣
35,"#teamzay if you fancy an something different, then follow these amaze little bird and their fight to survive ❣️",❣
36,well-intended love! ❣🙄,❣
37,my favorite way to spend the weekend ❣,❣
38,boy with luv 💜home❣magic shop 💜#bbmastopsocial bts,❣
