,contents,emoji
0,contents,emoji
1,she cute :(( 💓💞💕💝💖💘💗,💘
2,congrats ashley💘 #pbb8batch3bigfour,💘
3,thnkyu for share all this i love u 💘💓,💘
4,happy birthday to you 🎂🎉💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘,💘
5,i just fell in love with you again 💘,💘
6,fdaitch w fdait ‘97ktch fdait ibtsamtch fdait 3yonch fdait kl shay feech i love youuuushshshgsh 💘💘 — staaahhhpp my…,💘
7,"when everything fell apart, you come to fix my break heart 🎧🎶#lss 💘",💘
8,sooo fuck pretty gracie !! 🌈💘,💘
9,"love you too, sist! 💘",💘
10,twitch streamer who don't call out lurker 💓💕💖💗💘,💘
11,don’t u dare give up 😭 i know you’re go to do amazingggg 💞💓💗💖💘💗💓💞,💘
12,that one person that make you like:💕💞😘😍🥰💗💖💝😚☺️😌💘💗🥴😘🤤💗💖💕💝🦋🦋🦋🥺🤩🥳💝💗💞🦋🦋🦋🤤🤤💗💖💞💝💘💗💖🤤☺️😘💗💖💞💝,💘
13,fanyaaa sayang i would love to send this 💘☀️ for ily and have a great day,💘
14,"think i will, thank for ur support babe💘",💘
15,how sweeeet 💘💘,💘
16,thank you sm llovely i appreciate that🥰💘,💘
17,thank you beautiful 💘🥳,💘
18,good morning guy ❤💙💚💛💜💓💕💖💗💘💝💞💟🌹🌹🌹,💘
19,i have it today a well💖💗💓💞💘💕💝,💘
20,aaaa u and your friend look gr8!!!!! congratulation again!!!! 💘,💘
21,"last, region track &amp; field meet today! 💘",💘
22,hi guys🍰✨💕💘,💘
23,💯: :) follow everyònę whó like this! 🍋 💘 💕,💘
24,goddess of death!💘😍i get hela!,💘
25,london by me 💘,💘
26,yeonbin updatemy heart: 💕💘💓💓💘💘💕💕💘💓💓💘💕💕💘💓💓💘💕💕💘💓💓💘💕💕💘💓💓💘💕💕💘💓💓💘💕💕 💕💘💓💓💘💘💕💕💘💓💓💘💕💕💘💓💓💘💕💕💘💓💓💘💕💕💘💓💓💘💕💕💘💓💓💘💕💕#yeonbin #txt,💘
27,aaaaaahhh sochi this be so beautiful im literally cryin a fountain rn omfgg thank you so much //vibrates ❤️💛💘💘💘😍👏,💘
28,period pooh !!! i get my own bag! 😭 just love me 😭😭😭😭💘,💘
29,cuteness 💞💓💗💖💘💕,💘
30,okay thank for answer 💘,💘
31,yiiiee i miss you too and all 💘,💘
32,adorable uwu 💘 make bts happy with ur cuteness hihihi 💜,💘
33,still look gorgeous and sensual 💖💝💘💋,💘
34,[text to: ryu 🌸💘]&gt; we should go for another date at some point. i've misser them..,💘
35,my deskmate be better than yours🤢❤️mybigassbish💘,💘
36,get some rest pls take care of yourself 💗💖💘💕💓,💘
37,gulat ako dito 😭 my heart be full 💘 i love youuuuuu paul ivantot 😘❤️,💘
38,omg legend 💞💘💓💕💖💗,💘
39,"happy birthday to my baby 💘💘 bb, have the best day ever. i wish you always stay so happy and so beautiful…",💘
40,ubbi dubbi do not disappoint 🍍💘,💘
41,thank u🥺🥺💘💗💗💘💓💓💕💝💞,💘
42,he really be babie :(( thank you so much omg 🥺🥺💘💘,💘
43,i like munro😚😘😍🖒🖒👣👌❤❤💘,💘
44,yall :( the way i love al 😞💘,💘
45,anytime ☺️...if your sad i will always send positivity 💞💞💞💞💘💘💘💘,💘
46,im so proud of you jk and i love you so so so so so so so so so so so so so so much 💖💞💖💗💓💘,💘
47,the way i love him 💘❤️💓💖💕💝💞💟❤️💗💘💖,💘
48,i’m obsess with my friend l’ll fight anyone how try to hurt them 💘💘,💘
49,good night !!!!!! hope everyone be have / be gonna have / have a nice day &lt;3 he get my kithes tonight 💞💖💗💕💓💘,💘
50,"can yixing rest please, baby we love you and we just want you to be healthy 😔💘",💘
