,contents,emoji
0,contents,emoji
1,ooh the 🕯 would be a nice touch 👍,🕯
2,full up of ed=jack=♾=tion wasn't religion in(ten)3d to teach 3d en🕯city human how 2🖖count 🖖their 🆎️c👀basic📛in🐣str…,🕯
3,oh no honey 🕯🕯🕯💜💜💜,🕯
4,happy birthday sweeti🎈🕯,🕯
5,"a true warriorrest in peace 🙏🕯🇺🇸#never will be forget you excellent sacrifice,,ruhed in peace in infinitiv…",🕯
6,"sleep w a hammer, a very heavy brass candelabra and my lil dragon knife at my bedside jic🕯⚔",🕯
7,i need you 🕯i’m hungry but i’m be supa lazy rn...door dash me pls,🕯
8,lmao for real. these battle be expensive. 🧐🕯️ #demthrones #gameofthrones #forthethrone,🕯
9,"god, espero que funcione 🕯 🕯 🕯 🕯 …",🕯
10,we send our love too 💕💕 🕯,🕯
11,shadow of my two kettle in candlelight 🕯️ via /r/tea,🕯
12,the fact of want to analyze everything and overthinking will kill me ahah 🕯,🕯
13,thank you 🕯️,🕯
14,northern lights! 💡🔦🕯⚡,🕯
15,this will work: 🕯 🕯 🕯 🕯 ni wi…,🕯
16,prayer circle : 🕯 🕯 🕯 🕯…,🕯
17,pray circle: 🕯 🕯 🕯 🕯 🕯 speak…,🕯
18,shabbat shalom - always remember them in my prayer - wish you all there a peaceful weekend🕯️🕯️🍷🍞🍞,🕯
19,never in this lifetime or the next. neither of them deserve anything.☮️🤟🕯️susan.,🕯
20,no power because a transformer blow ⚡️🕯 so hooter it is! i just wish they be more inform about #glutenfree eat…,🕯
21,i'm gonna swing from the chandelier ~ 🐰🕯,🕯
22,prayer won't fail ✨ 🕯 🕯 🕯 🕯…,🕯
23,🕯 🕯 🕯 134340🕯 on the 🕯 setlist…,🕯
24,"this wa a really good day, keep your spirit light and candle alight 🕯",🕯
25,"do you know that regular paraffin scent candle be a huge source of indoor air pollution?🕯🕯🕯when burned, para…",🕯
26,prayer circle: 🕯 🕯 🕯 🕯 the…,🕯
27,ahh wena. a gem. 👏🏼👏🏼🕯️❤️also your time and relentless spirit. i celebrate you too. 👑,🕯
28,star wars: the force awakens.... #connectthedots🌅 #starwars🌟 #theforceawakens🕯 #movies🎬 #myth🕸 #stayinformed📰…,🕯
29,prayer circle 🕯 🕯 🕯 🕯 🕯 jin…,🕯
30,"gong yoo,,, pasummon naman oh shelemet 🤩 🕯 🕯 🕯 🕯…",🕯
31,hope this works...🕯 🔍🔎 🔍🔎 🔍🔎…,🕯
32,let your light shine so splendidly that others can see their way out of the darkness🌟🕯💛 #tuesdaythoughts #quote…,🕯
33,"summon circle, if this doesnt work i’m fuck 🕯 🕯 🕯 🕯…",🕯
34,pray circle 🕯 🕯 🕯 🕯 🕯…,🕯
35,a #killingeve summon circle 🕯 🕯 a 🕯 🕯 kill eve p…,🕯
36,"summon circle, please work: 🕯 🕯 🕯 🕯…",🕯
37,have a lovely night 🕯🕯,🕯
38,🥀🕯good morning🕯🥀,🕯
39,retweet and maybe it’ll work 🕯 🕯 🕯 🕯…,🕯
40,we will all fuckin miss you father 🕯🖤,🕯
41,summon circle: 🕯 🕯 🕯 🕯 🕯…,🕯
42,🕯 🕯 🕯 🕯 bts 🕯 speak yourself🕯 tour date 🕯…,🕯
43,#derasachasaudasaint ram rahimrehmat a msg 🕯🙏,🕯
44,infinite miraculous heal light energy of god's grace to dissolve from society amen 🙏🕯️🦅💞🕯️🌟🌈🌈🌈🌈🥰😍😘💖💯🕯️👐,🕯
45,book psychic session for tomorrow friday. order on my pin tweet above. i'll email you to set your appt times. 🕯,🕯
46,"summon circle, hope this works. 🕯 🕯 🕯 🕯 see 🕯🕯 gendry 🕯…",🕯
47,#kyungsoo 🕯🕯🕯🕯🕯🕯🕯🕯🕯🕯 new solo before the 🕯🕯 enlistment. 🕯🕯🕯🕯🕯🕯🕯🕯🕯 🕯,🕯
48,be up for 28 hr and count 🕯📚,🕯
49,"place i'm ask the universe to take me to this year; zim, swazi and capetown❤🚩🕯",🕯
50,thank you to my estate youth that final match wa lit🔥see yah in august🤔:( 🕯 soon,🕯
51,🕯🕯🕯🕯🕯🕯🕯 🕯 🕯 🕯 🕯 🕯🕯🕯🕯 🕯 🕯 🕯 🕯🕯🕯🕯🕯 🕯 🕯 🕯🕯🕯🕯 🕯 🕯 🕯…,🕯
52,pass the torch to our latest winners. 🕯️🌹#thebachelor #colton,🕯
53,love youu little light 💛🕯,🕯
54,prayer circle: 🕯 🕯 🕯 🕯 jungkook…,🕯
55,thank you 🙏🧚🏼‍♀️🧙🏼‍♀️🕯🧹🥰💫,🕯
