,contents,emoji
0,contents,emoji
1,"how many reserve be there in sbp , i think be near to$ 8.3 billion📻▶️ cirocing - on #citycafe 🍩 with #trendythursday",📻
2,do you people listen to ? she ha an adorable style of 🎙🎙📻 !,📻
3,kick offhere we go...🏉v 🏆📻95.1fm💻,📻
4,aruba we be come to see you guy soon🇺🇸 🇩🇴🇦🇼📍aruba radio tour on the make 📻🔜🌞🌴🌊,📻
5,radio chatter! 📻 #nw7us // today's sun (hmi visible continuum) #spaceweather #spacewx #solarstorm #hamr #swl…,📻
6,#np 🔈nobody x on the #rendezvousradioshow with 📢#abujaishottune in 📻🔥🔥🔥,📻
7,"mr nance do the buttercup 📻 💙 ❓ i don't like you, -flippo",📻
8,#drivetimeib with ▶️📻 demo - x,📻
9,#tunesday #areamatterw/ 📻 better soup - #chaizanders#thebeatgoeson,📻
10,📻 tune in to a our will be on air shortly to discus a new study link poor sense of sme…,📻
11,#n▶📻 agadatu - 🔛 #landlordandtenant with and #oyoyobaby #tunein,📻
12,#np only you by #mondayeveningride w. #partyjamz #newweekvibes #tuneintojoyfm📻,📻
13,robert mile play on the 📻,📻
14,np▶️ uptown girl #planetoldiesw/#indamix 🇳🇬📻 101.1,📻
15,#flenjoib with #ejanla x #radio2by2▶️📻azaman ft,📻
16,np▶️beautiful girl - on📻w/ x x on the switch #theswitch…,📻
17,🎼#playing: money #sojithingsshow📻 with,📻
18,"radio chatter! 📻 #w4www_brian // in before fuds cry out ""ft4 kill ham radio!""#ft4 #ft8 #wsjtx #hamr #hamradio…",📻
19,📻▶giant (audien rmx) - x on #therundown with x #cheers2dfreakend,📻
20,📻 #peanuts_fm i'm just gonna put this one here🎶gentleman - psy,📻
21,"change of plans, y’all! i’m work tuesday &amp; thursday 7pm-12am 📻",📻
22,#np “out of sight” 📻: 🔥 #logic #confessionsofadangerousmind,📻
23,📻▶️askamaya - on #citycafe with #cheers2dfreakendd,📻
24,exactly! it's just hurt that you will no longer hear a familiar voice on the other side of 📻,📻
25,good night 😴🌙💤 see you next time. on sunday thank you for a great musical night 🎶🎧📻,📻
26,⚾️: mudcat vs. potomac📍: five county stadium⏰: 2:00 pm📻: the big dawg 98.5 fm 🎧:,📻
27,"🔛📻 - when it come to radio, #uncensored w/ 🎤- rules!▶️- kpa - by #lovetherapy",📻
28,nowplayingonpurefm 📻⏯️nunu me by #thejamesandkatahshow 🤣 w/ x x,📻
29,"#np 📻 ""chase dem"" 🌴 stephen marley",📻
30,▶️ on #thedrivein w/ king sosa || turn up your 📻 ✔️✔️sign the contract you beautiful man for the love of god sign the contract you beautiful man,📻
31,me about to retweet something i already retweeted...🎧😂👽📻🌎🎶🛰,📻
32,#np prove by #tuesdaymorningride w. #supertrends #trendingvibes #tuneintojoyfm📻,📻
33,#nowplaying: tripple butter- x on #thebigbeats with #freestylefriday #welit 📻🔊🦁🔥🚀🦅,📻
34,the final stage be now green!!!📻: local affiliate:,📻
35,"medium appreciation 📰🗞📻📺: ""going up!"" by thank you for your continue support. get yourself a copy of t…",📻
36,#np ah blem blem by #fridaymorningride w. #superjamz #freshvibes #tgif #tuneintojoyfm📻,📻
37,damage - forever oh yeah usentle ke lowo 🙌👏🎵📻,📻
38,#np wetin dey on the #middayoasis with #onairwithtalkie #gotalkie 📻,📻
39,📻 i go out to sacramento for a few week ago to talk to homeless people who say they're be ta…,📻
40,"📻np 🎶""thriving"" ft on the #saturdayafternoongroove w/",📻
41,without rule we 'gonna live with animals. 😎music be life. 📻tune onto radio and hear my song,📻
42,⏰📻 #saturdaymotivationjamz 🚘 w/ #inthemix #nowplaying uncle suru 🎼🎹#listenlive #happyweekend,📻
43,#nowplaying📻: shkoyokoto - #darlingclinic with &amp; music policy:…,📻
44,🎵#nowplaying on global urban radio 🎵🎶so-star ft. wes joseph - the way that our eye first met🎶- #mp3 #outnow📻…,📻
45,np: 📻🎶 chalice - ft - #morningdrivelagos #moremusicradio 🔥💯🚀,📻
46,two words....game. day!🆚 🏆 quarter-final⌚️ 5.35pm🏟 kingspan stadium📺 📻…,📻
47,good morning from a well wash cork city. 🎧📻🎶 #weekendonone 6am,📻
48,vibing📻kept by his grace-#praisehouse with #thanksgivningsunday,📻
49,enjoy the meek mix on my ride home!!📻🎶📻🎶💃🏾💃🏾💃🏾a full registration data profile may be much more valuable t…,📻
