,contents,emoji
0,contents,emoji
1,👥 238 player online across nethergames🎉 join the fun at,🎉
2,happy bihday!!!🎈🥰🎉,🎉
3,"my week on twitter 🎉: 10 mentions, 990 mention reach, 109 likes, 8 retweets, 1.67k retweet reach. see yours with…",🎉
4,people do some crazy thing at weddings.. we take photos!! ☺️woohoo🎉🎉#seelanchitra oasis banquet hall,🎉
5,"happy birthday, tinu! ✨🎉🎂🥂🎈",🎉
6,don't wait more! buy your tickets!🎉😆😍😍💕😄💖😲😱more information:⠀⠀⠀[ 🇨🇦 2019 rain fan meet vancouver 🇨🇦 ]⠀⠀⠀tic…,🎉
7,happy sweet year sweety oh beautiful💙🎉...,🎉
8,"my week on twitter 🎉: 1 mention, 9 retweets, 229 retweet reach, 1 reply. see yours with",🎉
9,"my week on twitter 🎉: 42 mentions, 54 likes, 12 retweets, 1.71k retweet reach, 13 new followers. see yours with…",🎉
10,"it’s almost get embarrass to be a fan of this leaguemy week on twitter 🎉: 3 likes, 2 retweets, 12.6k retweet reach. see yours with",🎉
11,happy birthday kakk 🎉💜,🎉
12,"my week on twitter 🎉: 21 mentions, 668 mention reach, 906 likes, 123 retweets, 131k retweet reach. see yours with…",🎉
13,happy birthday to you 🎂🎉💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘,🎉
14,happy birthday madz 🎉,🎉
15,congratulation you have win the competition! please dm your address to u 🎉,🎉
16,many many happy return of the day..!🎂🎉,🎉
17,tonight ‼️#ceifiedfriday diamondclubatl 💎 presents... ❌ #bihdaybash 🎉 grand finalewe about t…,🎉
18,"congrats and good luck!👏👏🎉😙#england #news: lioness have a great day, nicenneetz! 🎉",🎉
19,"my week on twitter 🎉: 2 mentions, 5 likes, 2 new followers, 2 replies. see yours with",🎉
20,"my week on twitter 🎉: 34 mentions, 128 likes, 49 retweets, 24.4k retweet reach, 15 new followers. see yours with…",🎉
21,congratulation to #jimin 🎉🍾🎈ranked 🥇 four consecutive month #지민 #btsjimin #박지민 #bbmastopsocial,🎉
22,happy bihday!! hope you will have an amaze day! ❤️🎉🎊🎊,🎉
23,happy birthday jiiii 😘🎉,🎉
24,congratulations!!! ❤🎉🎉🎊🎊,🎉
25,"my week on twitter 🎉: 43 mentions, 247 mention reach, 106 likes, 10 retweets, 167k retweet reach. see yours with…",🎉
26,happy birthday to !! may health and happiness always god bestow upon you ♥️♥️♥️🎉🎉🎉#happybaekhyunday,🎉
27,"my week on twitter 🎉: 4 mentions, 37 likes, 3 replies. see yours with",🎉
28,celebratory in n out for dinner bc i get a raise today 😎🎉😎🎉😎🎉,🎉
29,"my week on twitter 🎉: 32 mentions, 68 likes, 2 retweets, 148 retweet reach, 4 new followers. see yours with…",🎉
30,happy birthday! laro ulit oh hahahaha enjoy your day godbless! 🎉,🎉
31,🎂🎉🎁🎈🎈❤❤💜💙💕gorgeous photo.nice photo.❤😊😊😊,🎉
32,yaaass!! 🎉🥂🎉that's amaze news - well deserve and well worth a wee weep!,🎉
33,happy birthday allen mbtc and godbless 😂🎉🎆,🎉
34,happy birthday lods 🎉🏀,🎉
35,hii would you also be will to trade for day2 tickets?🎉,🎉
36,congratulation dear 🎉,🎉
37,happy birthday bobohu❤🎉#geniusbaekhyunday#happybaekhyunday,🎉
38,"my week on twitter 🎉: 3 mentions, 32 likes, 2 retweets, 289 retweet reach, 1 new follower, 2 replies. see yours wit…",🎉
39,slumber party 🎉,🎉
40,can u hit me up with some ticket because it’s my birthday on sunday 🎉🤪🤪🤪,🎉
41,"my week on twitter 🎉: 703 mentions, 7.81k mention reach, 2.41k likes, 25 retweets, 564 replies. see yours with…",🎉
42,"congratulation 🎉🎊🎉🎊to my princess she ha successfully complete the 5th grade.. yes,yes middle school here she co…",🎉
43,"my week on twitter 🎉: 24 mentions, 308 mention reach, 37 likes, 23 retweets, 14.9k retweet reach. see yours with…",🎉
44,so proud of you bro!! big move 🎉,🎉
45,"my week on twitter 🎉: 5 mentions, 72 likes, 1 retweet, 138 retweet reach, 4 replies. see yours with…",🎉
46,🎉glad to hear you have monarchs! it’s hard when wasp get the caterpillars- but the wasp be probab…,🎉
47,congrats!!!!! 🎉🎈🎊,🎉
48,new season begin 🎉🎉#bbmastopsocial #attackontitan #shingekinokyojin #eren #mikasa #armin…,🎉
49,how old be you today seb-seb? happy bihday!!!!🎉 i miss you.,🎉
50,catch u get drink 😜🎉,🎉
51,"my week on twitter 🎉: 7 mentions, 11 likes, 6 retweets, 745 retweet reach, 7 replies. see yours with…",🎉
52,congratulationn 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😄😄😄,🎉
53,congrats👏🏻👏🏻🎉🎉🎉,🎉
54,"my week on twitter 🎉: 4 mentions, 19 likes, 1 retweet, 989 retweet reach, 4 new followers, 4 replies. see yours wit…",🎉
55,🎉🎉 treat number one. #connerdy30,🎉
56,🎁🎊🎉today we say happy birthday to ms. isabel on her birthday!🎁🎊🎉...the whole light team wish you the happiest…,🎉
57,"my week on twitter 🎉: 1 mention, 7.91k mention reach, 1 like, 1 new follower. see yours with",🎉
