,contents,emoji
0,contents,emoji
1,"#nighttimeshowph with 🎧 "" dance with a stranger "" -",🎧
2,there’s no place like home 😸🆚collingwood🏟gmhba stadium⏰11:30am🎧#wearegeelong,🎧
3,playin 🎧 dont work &gt; on #midweekmadnezz show show w/ myself &amp;…,🎧
4,"when everything fell apart, you come to fix my break heart 🎧🎶#lss 💘",🎧
5,ok so how many of these device have you own over your lifetime? 📞🕹🎧🎮#tiltteetuesday #sharethetees…,🎧
6,🎧 #np ♨️ 🎶 ☞ #voodoo,🎧
7,on now 🎧 drake - still here,🎧
8,yes. because life be in constant motion like a record on a turntable 🎧😉🎼,🎧
9,#live 🎵 #onlineradio #radio 🎧 #rnb #nowplaying 💽 05 celestal old school romance #music…,🎧
10,"and i break all the rule for you, break my heart and start again 🎧🎶🎶",🎧
11,🎧 tongue tie by on,🎧
12,"just like you, i get lonely too ..🎧",🎧
13,bali abayaye tubasobola👌🏾💪🏾🎤🎼🎧🎬#oliwadala#noletting_go_trending🙏🏽lets share the music to the w🌍rld🙏🏽,🎧
14,l since sunday 😍🎧,🎧
15,i run out of studio time lol 😂 i miss make music 🎧,🎧
16,i'm sorry i can't be perfect..🎧,🎧
17,bester podcast! 🎧💗 #gemischteshack,🎧
18,dj for the ‘treble reunion’ then onto dj the after party with my new 🎧 &amp; p…,🎧
19,now playing🎧🕺guardians of the galaxy:awesome mix vol.1&amp;vol.2(full soundtrack),🎧
20,"you know what?? it's be a year now, but i still cant move on from this beautiful song ""eric nam - hold me"" ♥️♥️♥️🎧🔊",🎧
21,come thru 🎧,🎧
22,mixed/mastered by me in 🎧 for mixology studio online,🎧
23,clr • rest day 🎧,🎧
24,out soon on youtube today!!! 🎧 catch the latest by the face - “ramadhan vlog” 🎧 subscribe youtube now:…,🎧
25,h e r i c a n e 🎶🎧,🎧
26,"i don’t know her whole name, i just meet her one day, &amp; i give her a nickname..🎧",🎧
27,empire of the sun🎧,🎧
28,#np 🔊 turn down for what - with on the #hotbreakfastclub #bestmusic 📢#abujaishot #besttalk 🎧,🎧
29,already on repeat 🎧,🎧
30,now playing: 🎧 alessia cara - how far i'll go ♫,🎧
31,"trey songz - playboy 🎧😈#cryptocurrencies #crypto #altcoins #cryptotrading #btc #blockchain daily discussion - april 24, 2019 (gmt+0)",🎧
32,😍np&gt;▶️ empire state of mind _ 🎶🎧w/ #jordanbreakfastshow🕺🕺🕺,🎧
33,“that i could do no worksthat i could say no prayer that i could pay ...nothing ! but the blood of jesus” 🔥🎼🎧🎵🎶…,🎧
34,here be my perfect screenshot 🎧#contestalert #soundofthechampions #contest#sweepstake 🎧…,🎧
35,i’m so into you 🤸🏾‍♂️🎧,🎧
36,🎧 p!nk - can we pretend ft. cash cash (lyrics video) ---------------------------------------------------------▶lin…,🎧
37,"no kap , time to work 🎧",🎧
38,play riht noow!!! cone join the chat !!! 🎮🎧📺,🎧
39,"be it too late to tell you that, everything mean nothing #ificanthaveyou🎧",🎧
40,ellipsis and parenthesis double bill. 🎧 🎧 👉🏻,🎧
41,don’t be a dick 🤣 funky mix vol.7 on mixcloud now!!!! 🔊🎧 #rekordboxdj #pioneerdj #rekordbox #ddj1000 #djaaronmullan…,🎧
42,‘you let me see the world through your eyes’ #bewareoflight #helalynflowers#noemiaurora#breathless🎧…,🎧
43,🎧 no photo by k.milli da god on ⁦,🎧
44,"""strip me back of all my pride, my possessions. til all i want and all i seek be your presence."" 🎧🎶 — listen to citipointe live",🎧
45,"lately, i've be feelin' so cool top to the bottom, just cool 🎧",🎧
46,carly be always give the gay what they want 🎧,🎧
47,our new tune be up on youtube 🎧,🎧
48,"ldl no spotify | 2° dia: 219,136 streams. 💋precisamos fazer mais stream de lip don't lie no spotify 🎧",🎧
49,reply to 👂🎧🎶🎵this 🎶its 💯🎤🔥🔥🔥🔥..she’s a pretty little liar tryna set my wo…,🎧
